"barrier_poly_id","country","area_km2","n_species_supported","Beaver","Bison","Brown Bear","Elk","Lynx","Pine Marten","Wild Boar","Wildcat"
905188,"England",115.728887388576,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
910775,"England",189.645863598887,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
912944,"England",959.083810152605,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
929373,"England",2988.72219778228,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
933528,"England",1600.56736230297,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
939440,"England",68.5970323344779,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
951262,"England",1295.51379756816,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
952803,"England",9275.31405742899,5,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
964410,"England",207.456162706478,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
987400,"England",824.268923474616,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
987997,"England",169.665297703583,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
995712,"England",554.83425723073,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1000689,"England",343.177001934955,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1006442,"England",82.5347940339686,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1007328,"England",214.03821438337,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1009026,"England",667.246936923546,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1009447,"England",511.381246509032,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1025384,"England",589.814233056686,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1026738,"England",28.8828861968553,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1044701,"England",731.576937069952,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1075325,"England",380.747934629897,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1075654,"England",769.641323928145,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1079141,"England",1046.37757965698,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1079653,"England",226.840188686317,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1079690,"England",562.579988419982,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1083565,"England",24.7051552020902,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1084552,"England",216.155150803465,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1090210,"England",32.1046350950475,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1090226,"England",57.9660464883214,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1090744,"England",201.412173377876,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1093996,"England",207.43366567724,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
1105444,"England",67.0538896689565,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1106248,"England",132.491536891888,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1134926,"England",16.9972067089422,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1135050,"England",38.5428880493834,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1135195,"England",15.5193585893127,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1141694,"England",94.8754448363234,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1144735,"England",20.5708606102951,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1145345,"England",61.7200576961129,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1145352,"England",48.4247690233503,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1145508,"England",87.8466555843036,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1149082,"England",9.93464096734152,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1149295,"England",102.452553976395,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1153414,"England",38.4134159578945,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1155176,"England",387.517760610077,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
